iter	Passed	Remaining
404	5771	1353
405	5783	1338
406	5795	1324
407	5807	1309
408	5819	1294
409	5834	1280
410	5847	1266
411	5862	1252
412	5874	1237
413	5887	1223
414	5900	1208
415	5912	1193
416	5928	1180
417	5941	1165
418	5953	1150
419	5966	1136
420	5979	1121
421	5991	1107
422	6004	1092
423	6016	1078
424	6028	1063
425	6040	1049
426	6053	1034
427	6067	1020
428	6079	1006
429	6092	991
430	6105	977
431	6117	962
432	6130	948
433	6142	934
434	6154	919
435	6167	905
436	6179	890
437	6191	876
438	6203	861
439	6215	847
440	6227	833
441	6239	818
442	6251	804
443	6264	790
444	6276	775
445	6288	761
446	6301	747
447	6316	733
448	6328	718
449	6344	704
450	6356	690
451	6369	676
452	6381	662
453	6394	647
454	6407	633
455	6419	619
456	6432	605
457	6445	591
458	6461	577
459	6473	562
460	6486	548
461	6500	534
462	6512	520
463	6521	506
464	6536	491
465	6549	477
466	6561	463
467	6574	449
468	6582	435
469	6595	420
470	6608	406
471	6620	392
472	6629	378
473	6641	364
474	6654	350
475	6666	336
476	6678	322
477	6691	307
478	6708	294
479	6720	280
480	6734	266
481	6746	251
482	6759	237
483	6771	223
484	6783	209
485	6796	195
486	6806	181
487	6818	167
488	6831	153
489	6848	139
490	6864	125
491	6877	111
492	6891	97
493	6901	83
494	6914	69
495	6926	55
496	6935	41
497	6947	27
498	6960	13
499	6972	0
