iter	Logloss
0	0.5800407097
1	0.4874249262
2	0.4149314353
3	0.3664886533
4	0.3238839796
5	0.2931114917
6	0.2705060275
7	0.2476303634
8	0.2344576901
9	0.2175538402
10	0.207761683
11	0.1964267944
12	0.1870388291
13	0.1775846349
14	0.1686901389
15	0.1630592046
16	0.158354911
17	0.1521284198
18	0.1463093901
19	0.1422502073
20	0.138068672
21	0.134675552
22	0.1322659104
23	0.1282734334
24	0.125344234
25	0.1225326058
26	0.1195715048
27	0.1175164968
28	0.1153277765
29	0.1134105047
30	0.1108452373
31	0.1092371672
32	0.1072814496
33	0.1062494583
34	0.1051304119
35	0.1033538119
36	0.1012008878
37	0.09996580525
38	0.09851223207
39	0.09741701864
40	0.09608916862
41	0.0948767657
42	0.09362623546
43	0.09248757989
44	0.09107995685
45	0.0897430228
46	0.0889832778
47	0.0876734529
48	0.0864741488
49	0.0852971563
50	0.08396274558
51	0.08286552399
52	0.08171720704
53	0.08074039062
54	0.07977327393
55	0.07844180517
56	0.07727397352
57	0.07643052784
58	0.07522126926
59	0.07451113127
60	0.07377890195
61	0.07287921069
62	0.07219450149
63	0.07137528679
64	0.07065385556
65	0.06970985419
66	0.0689406048
67	0.06841882376
68	0.06755279523
69	0.06711384276
70	0.06621563603
71	0.06576494355
72	0.06513513052
73	0.06462227545
74	0.0641368616
75	0.06354390352
76	0.06294752025
77	0.06233259855
78	0.06204847456
79	0.06147396248
80	0.06092298384
81	0.06036593884
82	0.05998158797
83	0.05967175271
84	0.05899048196
85	0.0585685278
86	0.05828000294
87	0.05771826361
88	0.05739847876
89	0.05680039555
90	0.05626037626
91	0.05570594316
92	0.05528868926
93	0.05494070583
94	0.0545380733
95	0.05439053659
96	0.05392102595
97	0.05362787952
98	0.05323542326
99	0.05283854329
100	0.0524872743
101	0.05185522199
102	0.05119155872
103	0.05043167717
104	0.05001915963
105	0.04969477978
106	0.04936654395
107	0.04913309476
108	0.0487241962
109	0.04835667512
110	0.04779151305
111	0.04746495187
112	0.04686437863
113	0.04615091678
114	0.04587106103
115	0.04551896022
116	0.04521346935
117	0.04487770988
118	0.04448713562
119	0.04423376957
120	0.04389182404
121	0.04357527879
122	0.0431453977
123	0.0424581077
124	0.04220869628
125	0.04161633778
